Outer_ID,Repeat,Fold,Target,Metric,Difference_k12_minus_k17
R04_F05,4,5,El,MAPE_Percent,4.241145743125561
R04_F05,4,5,Macro,R2,-0.02393922480369759
R04_F05,4,5,Macro,NRMSE,0.022101667619157717
R04_F05,4,5,Macro,NMAE,0.02958780049758325
R04_F05,4,5,UTS,R2,-0.003017450312560399
R04_F05,4,5,UTS,RMSE,0.34848338660194145
R04_F05,4,5,UTS,MAE,0.44899156682408403
R04_F05,4,5,UTS,NRMSE,0.0032976960798329347
R04_F05,4,5,UTS,NMAE,0.00424880435257341
R04_F05,4,5,UTS,MAPE_Percent,0.4786973999548847
R04_F05,4,5,YS,R2,-0.010038119495821674
R04_F05,4,5,YS,RMSE,1.2154980894626704
R04_F05,4,5,YS,MAE,3.007100691109528
R04_F05,4,5,YS,NRMSE,0.009845616143753455
R04_F05,4,5,YS,NMAE,0.024357717520862743
R04_F05,4,5,YS,MAPE_Percent,2.289194200925964
R05_F01,5,1,El,R2,-0.0035527713961645002
R05_F01,5,1,El,RMSE,0.029318418849292094
R05_F01,5,1,El,MAE,0.20800355523322267
R05_F01,5,1,El,NRMSE,0.004093989760085293
R05_F01,5,1,El,NMAE,0.02904537347540892
R05_F01,5,1,El,MAPE_Percent,3.8902587188380124
R05_F01,5,1,Macro,R2,-0.003836339089336782
R05_F01,5,1,Macro,NRMSE,0.00668389363310018
R05_F01,5,1,Macro,NMAE,0.01343864548326179
R05_F01,5,1,UTS,R2,-0.006190391518162697
R05_F01,5,1,UTS,RMSE,1.331041268304844
R05_F01,5,1,UTS,MAE,0.45458334003981093
R05_F01,5,1,UTS,NRMSE,0.012857973920779447
R05_F01,5,1,UTS,NMAE,0.004391314431968496
R05_F01,5,1,UTS,MAPE_Percent,0.42297665163208364
R05_F01,5,1,YS,R2,-0.0017658543536831495
R05_F01,5,1,YS,RMSE,0.37306038021591803
R05_F01,5,1,YS,MAE,0.8279384524390707
R05_F01,5,1,YS,NRMSE,0.0030997172184358823
R05_F01,5,1,YS,NMAE,0.006879248542408067
R05_F01,5,1,YS,MAPE_Percent,1.2140499187988034
R05_F02,5,2,El,R2,0.010651894404781537
R05_F02,5,2,El,RMSE,-0.07357715376829477
R05_F02,5,2,El,MAE,0.006786825747254088
R05_F02,5,2,El,NRMSE,-0.010074650403968877
R05_F02,5,2,El,NMAE,0.000929295212635739
R05_F02,5,2,El,MAPE_Percent,0.10523609954452517
R05_F02,5,2,Macro,R2,0.0031418282524051655
R05_F02,5,2,Macro,NRMSE,-0.0029232548049018536
R05_F02,5,2,Macro,NMAE,0.0027066876768860326
R05_F02,5,2,UTS,R2,-0.0033531232391463828
R05_F02,5,2,UTS,RMSE,0.38467387648081086
R05_F02,5,2,UTS,MAE,0.8551408640263887
R05_F02,5,2,UTS,NRMSE,0.003733628753852747
R05_F02,5,2,UTS,NMAE,0.00829996189949933
R05_F02,5,2,UTS,MAPE_Percent,0.17165267483336955
R05_F02,5,2,YS,R2,0.0021267135915804536
R05_F02,5,2,YS,RMSE,-0.293275847991751
R05_F02,5,2,YS,MAE,-0.13393754150311565
R05_F02,5,2,YS,NRMSE,-0.002428742764589431
R05_F02,5,2,YS,NMAE,-0.0011091940814769718
R05_F02,5,2,YS,MAPE_Percent,-0.19345775630739936
R05_F03,5,3,El,R2,-0.037698671183579835
R05_F03,5,3,El,RMSE,0.23633007365783243
R05_F03,5,3,El,MAE,0.21984819311944914
R05_F03,5,3,El,NRMSE,0.033740498406225505
R05_F03,5,3,El,NMAE,0.03138740446676325
R05_F03,5,3,El,MAPE_Percent,0.6058887195161304
R05_F03,5,3,Macro,R2,-0.0194917915250864
R05_F03,5,3,Macro,NRMSE,0.020455229089130555
R05_F03,5,3,Macro,NMAE,0.023125970052839895
R05_F03,5,3,UTS,R2,-0.008536847502437772
R05_F03,5,3,UTS,RMSE,1.3017180097144951
R05_F03,5,3,UTS,MAE,1.3674009460032792
R05_F03,5,3,UTS,NRMSE,0.012375753388173982
R05_F03,5,3,UTS,NMAE,0.013000217223854776
R05_F03,5,3,UTS,MAPE_Percent,0.41263161819298944
R05_F03,5,3,YS,R2,-0.012239855889241924
R05_F03,5,3,YS,RMSE,1.8335305020950727
R05_F03,5,3,YS,MAE,3.004731305837705
R05_F03,5,3,YS,NRMSE,0.015249435472992456
R05_F03,5,3,YS,NMAE,0.024990288467901633
R05_F03,5,3,YS,MAPE_Percent,0.9629010646426099
R05_F04,5,4,El,R2,-0.01883851330589692
R05_F04,5,4,El,RMSE,0.11556257012732596
R05_F04,5,4,El,MAE,0.114504433349077
R05_F04,5,4,El,NRMSE,0.015351652381481118
R05_F04,5,4,El,NMAE,0.01521108655663106
R05_F04,5,4,El,MAPE_Percent,2.0505011422243626
R05_F04,5,4,Macro,R2,0.0029249010874080605
R05_F04,5,4,Macro,NRMSE,-0.005806252833231551
R05_F04,5,4,Macro,NMAE,-0.003348882096480099
R05_F04,5,4,UTS,R2,0.0052653284101492615
R05_F04,5,4,UTS,RMSE,-0.6709984240048925
R05_F04,5,4,UTS,MAE,-1.2220282833266722
